date,product,region,revenue,units_sold,discount,customer_segment
2025-12-07,Platform Premium,North America,314989.50,105,0.0,Enterprise
2025-12-08,Module Alpha,Europe,45498.70,130,0.0,Government
2025-12-09,Gadget Y,North America,94499.48,105,0.0,Enterprise
2025-12-10,Widget Pro,Asia Pacific,130862.72,278,0.05,SMB
2025-12-12,Sensor V2,North America,48096.63,370,0.0,Enterprise
2025-12-13,Platform Base,Europe,179999.10,90,0.05,Government
2025-12-14,Widget Lite,Middle East,23998.80,120,0.0,Education
2025-12-15,Gadget X,North America,110499.15,85,0.0,Enterprise
2025-12-17,Module Beta,North America,27498.90,110,0.0,Startup
2025-12-18,Widget Pro,Europe,134812.50,300,0.10,Enterprise
2025-12-19,Sensor V1,Asia Pacific,12784.00,164,0.05,SMB
2025-12-20,Module Alpha,Latin America,41998.80,120,0.0,Enterprise
2025-12-22,Gadget Y,North America,98999.45,110,0.0,Enterprise
2025-12-23,Platform Premium,Asia Pacific,269991.00,90,0.10,Enterprise
2025-12-24,Widget Lite,North America,27998.60,140,0.0,Education
2025-12-25,Sensor V2,Europe,44196.60,340,0.0,Government
2025-12-26,Widget Pro,North America,174650.00,350,0.0,Enterprise
2025-12-27,Gadget X,Middle East,97499.25,75,0.0,SMB
2025-12-28,Module Alpha,North America,52498.75,150,0.0,Government
2025-12-29,Platform Base,Asia Pacific,169999.15,85,0.05,Enterprise
2025-12-30,Widget Pro,Europe,142237.50,285,0.0,Enterprise
2025-12-31,Gadget Y,North America,112499.38,125,0.0,Enterprise
2025-10-06,Module Beta,North America,29998.80,120,0.0,SMB
2025-10-11,Sensor V1,Asia Pacific,8784.60,112,0.05,Education
2025-10-16,Widget Pro,Latin America,108712.88,218,0.0,Enterprise
2025-10-21,Gadget X,North America,110499.15,85,0.0,SMB
2025-10-26,Sensor V2,Europe,35097.30,270,0.0,Startup
2025-11-06,Widget Pro,North America,142237.50,285,0.05,Enterprise
2025-11-11,Gadget Y,Asia Pacific,84599.53,94,0.0,Startup
2025-11-16,Module Alpha,Europe,41998.80,120,0.0,SMB
2025-11-21,Platform Base,North America,189998.95,95,0.0,Enterprise
2025-11-26,Sensor V1,North America,11184.60,143,0.05,Government
2025-12-06,Widget Lite,North America,19998.90,100,0.0,Education
2025-12-11,Gadget X,Asia Pacific,109199.18,84,0.05,Enterprise
2025-12-16,Module Beta,Europe,27498.90,110,0.0,Startup
2025-12-21,Widget Pro,North America,149700.00,300,0.0,Enterprise
2025-10-09,Platform Premium,Latin America,239992.50,80,0.20,Enterprise
2025-11-15,Sensor V1,Middle East,7184.55,92,0.05,SMB
2025-12-05,Gadget Y,Europe,85499.55,95,0.0,Enterprise
2025-12-15,Platform Base,North America,199998.95,100,0.0,Government
2025-12-28,Widget Lite,Asia Pacific,31998.00,160,0.20,Startup
2025-12-31,Module Alpha,North America,48998.60,140,0.0,Enterprise
